Cement,Clinker,Slag,FlyAsh,Limestones,Gypsum,Water,Chemical Admixture,coarseagg,fineagg,Age,Strength (MPa),CO2 (kg),Cost (USD)
350,332.5,0,0,0,17.5,160,3,1025,865,21,29.4,358.0805,82.83
350,332.5,0,0,0,17.5,160,3,1025,865,7,29.5,358.0805,82.83
350,332.5,0,0,0,17.5,160,3,1025,865,7,30.7,358.0805,82.83
350,332.5,0,0,0,17.5,160,3,1025,865,14,31.1,358.0805,82.83
350,332.5,0,0,0,17.5,160,3,1025,865,14,32.3,358.0805,82.83
350,332.5,0,0,0,17.5,160,3,1025,865,21,32.6,358.0805,82.83
350,332.5,0,0,0,17.5,160,3,1025,865,28,33.1,358.0805,82.83
350,332.5,0,0,0,17.5,160,3,1025,865,21,34,358.0805,82.83
350,332.5,0,0,0,17.5,160,3,1025,865,14,34.9,358.0805,82.83
350,332.5,0,0,0,17.5,160,3,1025,865,14,35.6,358.0805,82.83
350,332.5,0,0,0,17.5,160,3,1025,865,28,36.1,358.0805,82.83
350,332.5,0,0,0,17.5,160,3,1025,865,21,38.1,358.0805,82.83
350,332.5,0,0,0,17.5,160,3,1025,865,21,38.6,358.0805,82.83
350,332.5,0,0,0,17.5,160,3,1025,865,28,38.9,358.0805,82.83
350,332.5,0,0,0,17.5,160,3,1025,865,21,39.1,358.0805,82.83
350,332.5,0,0,0,17.5,160,3,1025,865,28,42,358.0805,82.83
510,484.5,0,0,0,25.5,176,6.12,1050,662,7,17.3,512.6968,94.978
510,484.5,0,0,0,25.5,176,6.12,1050,662,3,37.54,512.6968,94.978
510,484.5,0,0,0,25.5,176,6.12,1050,662,7,41,512.6968,94.978
510,484.5,0,0,0,25.5,176,6.12,1050,662,7,46.4,512.6968,94.978
510,484.5,0,0,0,25.5,176,6.12,1050,662,28,51.7363975,512.6968,94.978
510,484.5,0,0,0,25.5,176,6.12,1050,662,28,51.83077515,512.6968,94.978
510,484.5,0,0,0,25.5,176,6.12,1050,662,28,55.89418513,512.6968,94.978
400,380,0,0,0,20,175,4,1023,796,3,17.6,406.2384,86.1895
400,380,0,0,0,20,175,4,1023,796,3,19.6,406.2384,86.1895
400,380,0,0,0,20,175,4,1023,796,7,22.02068966,406.2384,86.1895
400,380,0,0,0,20,175,4,1023,796,14,24.3,406.2384,86.1895
400,380,0,0,0,20,175,4,1023,796,14,25.2,406.2384,86.1895
400,380,0,0,0,20,175,4,1023,796,28,31.3,406.2384,86.1895
400,380,0,0,0,20,175,4,1023,796,7,39.7,406.2384,86.1895
385,365.75,0,0,0,19.25,163.625,3.36875,1020,832,7,21.77241379,391.5916875,84.5699375
385,365.75,0,0,0,19.25,163.625,3.36875,1020,832,3,24.4,391.5916875,84.5699375
385,365.75,0,0,0,19.25,163.625,3.36875,1020,832,3,24.9,391.5916875,84.5699375
385,365.75,0,0,0,19.25,163.625,3.36875,1020,832,14,27.5,391.5916875,84.5699375
385,365.75,0,0,0,19.25,163.625,3.36875,1020,832,7,30,391.5916875,84.5699375
385,365.75,0,0,0,19.25,163.625,3.36875,1020,832,14,30.1,391.5916875,84.5699375
385,365.75,0,0,0,19.25,163.625,3.36875,1020,832,28,31.4,391.5916875,84.5699375
385,365.75,0,0,0,19.25,163.625,3.36875,1020,832,28,32.9,391.5916875,84.5699375
385,365.75,0,0,0,19.25,163.625,3.36875,1020,832,21,34.4,391.5916875,84.5699375
385,365.75,0,0,0,19.25,163.625,3.36875,1020,832,21,34.9,391.5916875,84.5699375
420,399,0,0,0,21,172,3.8,1026,779,3,23.1,425.1892,86.676
420,399,0,0,0,21,172,3.8,1026,779,3,24.4,425.1892,86.676
420,399,0,0,0,21,172,3.8,1026,779,3,25.2,425.1892,86.676
420,399,0,0,0,21,172,3.8,1026,779,7,27.9,425.1892,86.676
420,399,0,0,0,21,172,3.8,1026,779,7,38.8,425.1892,86.676
420,399,0,0,0,21,172,3.8,1026,779,28,41.5,425.1892,86.676
420,399,0,0,0,21,172,3.8,1026,779,14,42.3,425.1892,86.676
420,399,0,0,0,21,172,3.8,1026,779,14,44.1,425.1892,86.676
420,399,0,0,0,21,172,3.8,1026,779,14,46.4,425.1892,86.676
420,399,0,0,0,21,172,3.8,1026,779,28,49.2,425.1892,86.676
420,399,0,0,0,21,172,3.8,1026,779,21,49.2,425.1892,86.676
420,399,0,0,0,21,172,3.8,1026,779,28,49.3,425.1892,86.676
420,399,0,0,0,21,172,3.8,1026,779,28,49.8,425.1892,86.676
420,399,0,0,0,21,172,3.8,1026,779,21,50,425.1892,86.676
420,399,0,0,0,21,172,3.8,1026,779,21,50.5,425.1892,86.676
400,380,0,0,0,20,170,3.5,1023,796,7,23.47586207,405.8769,85.217
400,380,0,0,0,20,170,3.5,1023,796,3,27.5,405.8769,85.217
400,380,0,0,0,20,170,3.5,1023,796,14,38.3,405.8769,85.217
400,380,0,0,0,20,170,3.5,1023,796,21,47.3,405.8769,85.217
400,380,0,0,0,20,170,3.5,1023,796,28,48.1,405.8769,85.217
400,380,0,0,0,20,178,4,1023,796,3,25.3,406.2393,86.203
400,380,0,0,0,20,178,4,1023,796,14,31.8,406.2393,86.203
400,380,0,0,0,20,178,4,1023,796,7,32.2,406.2393,86.203
400,380,0,0,0,20,178,4,1023,796,28,42.8,406.2393,86.203
